date,mmsi,lat,lon,fishing_hours
2020-01-31,247145870,36.7,14.3,1.5225
2020-01-31,247146970,36.7,12.5,0.0
2020-01-31,247147720,36.7,14.3,1.4141
2020-01-31,247149190,36.7,14.4,0.0
2020-01-31,247149270,36.7,15.2,10.433
2020-01-31,247149270,36.7,15.1,0.0
2020-01-31,247149270,36.7,15.3,0.2944
2020-01-31,247149810,36.7,12.2,0.0
2020-01-31,247149810,36.7,12.0,0.0
2020-01-31,247149810,36.7,12.1,0.0
2020-01-31,247300160,36.7,14.8,0.0
2020-01-31,247300350,36.7,14.3,0.558
2020-01-31,247301060,36.7,15.2,0.0
2020-01-31,247301700,36.7,11.5,1.6191
2020-01-31,247309060,36.7,14.8,0.0
2020-01-31,247309060,36.7,14.5,3.0955
2020-01-31,210380000,35.2,13.8,0.0
2020-01-31,247147480,35.2,13.9,0.0
2020-01-31,247147480,35.2,14.0,0.0
2020-01-31,247070730,37.2,12.8,1.1361
2020-01-31,247070730,37.2,12.7,0.0
2020-01-31,247070730,37.2,13.0,0.2691
2020-01-31,247070730,37.2,13.1,0.2694
2020-01-31,247070730,37.2,12.9,0.5194
2020-01-31,247100390,37.2,12.9,2.1305
2020-01-31,247121010,37.2,13.0,2.5333
2020-01-31,247121090,37.2,12.4,3.0102
2020-01-31,247124540,37.2,13.0,4.0727
2020-01-31,247124540,37.2,13.1,2.4713
2020-01-31,247140160,37.2,13.3,2.9883
2020-01-31,247140160,37.2,13.2,2.763
2020-01-31,247140160,37.2,13.1,0.2527
2020-01-31,247140160,37.2,13.4,0.5808
2020-01-31,247140260,37.2,13.4,1.3555
2020-01-31,247140260,37.2,13.3,2.6336
2020-01-31,247140260,37.2,13.2,1.5694
2020-01-31,247140330,37.2,12.3,3.6913
2020-01-31,247140330,37.2,12.4,2.5469
2020-01-31,247140370,37.2,13.2,2.6777
2020-01-31,247140370,37.2,13.3,6.2219
2020-01-31,247140370,37.2,13.4,0.2863
2020-01-31,247140790,37.2,13.2,0.5616
2020-01-31,247140790,37.2,13.3,6.6975
2020-01-31,247140790,37.2,13.4,3.8522
2020-01-31,247140830,37.2,12.4,5.1386
2020-01-31,247140880,37.2,13.0,1.9858
2020-01-31,247141610,37.2,12.9,4.2383
2020-01-31,247142320,37.2,11.4,0.5252
2020-01-31,247142320,37.2,11.5,0.5416
2020-01-31,247142340,37.2,12.8,3.4863
2020-01-31,247142340,37.2,13.0,3.338
2020-01-31,247142340,37.2,12.9,2.6611
2020-01-31,247142770,37.2,13.1,0.0
2020-01-31,247143320,37.2,12.9,0.0
2020-01-31,247143320,37.2,13.0,0.0
2020-01-31,247143440,37.2,11.4,0.2833
2020-01-31,247143440,37.2,11.5,0.8111
2020-01-31,247143440,37.2,11.3,0.2802
2020-01-31,247143690,37.2,12.3,1.8055
2020-01-31,247143930,37.2,13.4,2.3336
2020-01-31,247143930,37.2,13.2,0.5249
2020-01-31,247143930,37.2,13.3,5.3941
2020-01-31,247144390,37.2,13.0,1.9005
2020-01-31,247145230,37.2,13.2,1.1249
2020-01-31,247145460,37.2,12.9,0.0
2020-01-31,247146110,37.2,12.7,0.0
2020-01-31,247146110,37.2,12.4,1.4222
2020-01-31,247147290,37.2,11.3,0.3169
2020-01-31,247147410,37.2,11.6,2.9086
2020-01-31,247148370,37.2,13.1,0.2527
2020-01-31,247148370,37.2,13.3,1.5697
2020-01-31,247148370,37.2,13.2,2.6525
2020-01-31,247149150,37.2,12.9,3.8472
2020-01-31,247149480,37.2,12.9,2.4272
2020-01-31,247149810,37.2,12.8,0.0
2020-01-31,247149810,37.2,12.7,0.0
2020-01-31,247301700,37.2,12.0,0.0
2020-01-31,247302220,37.2,13.1,0.2666
2020-01-31,247302220,37.2,13.0,2.6774
2020-01-31,247302220,37.2,12.8,3.2219
2020-01-31,247302220,37.2,12.9,2.1697
2020-01-31,247305480,37.2,15.2,0.0
2020-01-31,247305840,37.2,13.2,3.5583
2020-01-31,247305840,37.2,13.4,0.5277
2020-01-31,247305840,37.2,13.3,2.8694
2020-01-31,672561000,37.2,11.2,7.7366
2020-01-31,672561000,37.2,11.3,3.5811
2020-01-31,672585000,37.2,11.3,2.8144
2020-01-31,672585000,37.2,11.2,7.8133
2020-01-31,672611000,37.2,11.0,0.0
