msg_type,mmsi,ship_name,meta_lat,meta_lon,time_utc,cog,comm_state,latitude,longitude,message_id,nav_status,pos_accuracy,raim,rot,repeat_ind,sog,spare,manoeuvre_ind,timestamp,heading,user_id,is_valid
PositionReport,258107000,OLYMPIC DELTA       ,38.01281,12.51933,2026-03-22 12:41:56.052762333 +0000 UTC,325.4,85322,38.012805,12.51933,3,5,False,False,0,0,0,2,0,56,67,258107000,True
PositionReport,247003700,PAOLO VERONESE,38.0133,12.50653,2026-03-22 12:42:04.167840592 +0000 UTC,3,86474,38.013299999999994,12.50653,3,5,True,True,0,0,0,0,0,3,184,247003700,True
PositionReport,247447600,FERDINANDO MORACE   ,38.23758,15.27379,2026-03-22 12:42:07.866547405 +0000 UTC,16.5,33058,38.23757833333333,15.273791666666666,1,0,True,False,0,0,28.5,0,0,8,26,247447600,True
PositionReport,249596000,CLIO                ,38.01346,12.50763,2026-03-22 12:42:13.045342253 +0000 UTC,254.5,84938,38.01345833333333,12.50763,3,5,True,False,0,0,0,0,0,12,21,249596000,True
PositionReport,238481940,INKA,38.01523,12.49884,2026-03-22 12:42:18.073450203 +0000 UTC,360,22696,38.01522833333333,12.498841666666667,1,0,True,True,-1,0,0,0,0,17,511,238481940,True
PositionReport,247234700,ACRUX               ,38.21693,15.24815,2026-03-22 12:42:26.388375523 +0000 UTC,92.8,81972,38.21693166666667,15.24815,1,0,True,False,-128,0,0,0,0,26,511,247234700,True
PositionReport,247387500,CARMEN M,38.0133,12.51081,2026-03-22 12:42:38.891779192 +0000 UTC,194,66991,38.01329666666666,12.510813333333335,1,0,True,False,0,0,0,0,0,35,46,247387500,True
PositionReport,247320500,MARCO M             ,38.2171,15.24183,2026-03-22 12:42:43.817947803 +0000 UTC,163.1,49199,38.217105,15.24183,1,0,True,False,0,0,0,0,0,41,251,247320500,True
PositionReport,247265400,CITTA' DI MILAZZO,38.21702,15.2477,2026-03-22 12:42:44.81782718 +0000 UTC,116,22696,38.21701666666667,15.2477,1,0,False,False,-128,0,0,0,0,42,511,247265400,True
PositionReport,247428800,SAN VITALE          ,38.21723,15.24724,2026-03-22 12:43:00.771232761 +0000 UTC,17.8,49219,38.21723,15.247243333333333,1,0,False,False,0,0,0,0,0,59,134,247428800,True
PositionReport,247447600,FERDINANDO MORACE   ,38.24524,15.27574,2026-03-22 12:43:07.853686323 +0000 UTC,7.7,22700,38.245241666666665,15.275738333333333,1,0,True,False,-127,0,28.5,0,0,7,16,247447600,True
PositionReport,238481940,INKA,38.01522,12.49887,2026-03-22 12:43:18.063595174 +0000 UTC,360,2251,38.01522,12.498865,1,0,True,True,-9,0,0,0,0,17,511,238481940,True
PositionReport,247447400,DANIELA MORACE      ,38.21826,15.24129,2026-03-22 12:43:27.40244395 +0000 UTC,283,22700,38.21826333333333,15.241293333333335,1,0,True,False,-128,0,0,0,0,24,511,247447400,True
PositionReport,311015300,CHRYSANTHEMUM       ,38.23208,15.32289,2026-03-22 12:43:29.444922547 +0000 UTC,291,0,38.232083333333335,15.322888333333333,3,1,True,False,0,0,0.1,0,0,28,28,311015300,True
PositionReport,247536000,MARE JONIO          ,38.01143,12.51942,2026-03-22 12:43:30.69475536 +0000 UTC,149.7,85802,38.01143166666667,12.519415,3,5,False,False,0,0,0,0,0,29,183,247536000,True
PositionReport,247443700,NEREA               ,38.21555,15.24495,2026-03-22 12:43:31.323727159 +0000 UTC,214.1,84938,38.21554666666667,15.244946666666667,3,5,True,False,0,0,0,0,0,30,75,247443700,True
PositionReport,247342000,LAURANA             ,38.21638,15.24303,2026-03-22 12:43:32.608555744 +0000 UTC,170,84938,38.21637666666666,15.243025,3,5,True,False,0,0,0,0,0,32,319,247342000,True
PositionReport,247387500,CARMEN M,38.0133,12.51082,2026-03-22 12:43:38.881264649 +0000 UTC,194,49203,38.013295,12.510821666666667,1,0,True,False,0,0,0,0,0,35,46,247387500,True
PositionReport,247452900,PELLEGRON           ,38.01048,12.50832,2026-03-22 12:43:42.735136729 +0000 UTC,0,85338,38.01047833333334,12.508316666666667,3,5,False,False,0,0,0,0,0,41,306,247452900,True
PositionReport,247320500,MARCO M             ,38.21711,15.24183,2026-03-22 12:43:43.792798534 +0000 UTC,163.1,34406,38.21711333333334,15.241831666666666,1,0,True,False,0,0,0,0,0,41,251,247320500,True
